dataset,img,detected_blue,detected_yellow,detected_orange,detected_orange2,blue,yellow,orange,orange2
skidpad1,0,0,1,2,0,0,2,2,0
,1,0,3,2,0,0,3,2,0
,2,0,2,2,0,0,2,2,0
,3,0,2,2,0,0,2,2,0
,4,0,2,2,0,0,2,2,0
,5,0,2,2,0,0,2,2,0
,6,0,2,2,0,0,2,2,0
,7,0,3,1,0,0,3,2,0
,8,0,3,1,0,0,3,2,0
,9,1,2,2,0,1,3,2,0
,10,1,2,2,0,1,3,3,0
,11,0,3,2,0,1,3,3,0
,12,1,2,2,0,1,3,2,0
,13,1,2,2,0,1,3,2,0
,14,1,2,2,0,1,3,2,0
,15,0,3,2,0,1,3,2,0
,16,0,3,2,0,1,3,2,0
,17,1,2,2,0,1,2,2,0
,18,2,3,2,0,2,4,2,0
,19,2,1,2,0,2,3,2,0
,20,2,2,2,0,2,3,2,0
,21,2,2,2,0,2,3,2,0
,22,2,2,2,0,2,3,2,0
,23,2,2,2,0,2,3,2,0
,24,1,3,2,0,2,3,2,0
,25,2,2,2,0,2,3,2,0
,26,2,3,2,0,2,3,2,0
,27,2,4,2,0,3,5,2,0
,28,3,4,1,0,4,5,1,0
,29,3,4,0,0,3,5,0,0
,30,3,5,0,0,4,5,0,0
,31,4,3,0,0,4,3,0,0
,32,4,4,0,0,4,4,0,0
,33,4,3,0,0,4,3,0,0
,34,4,3,0,0,4,3,0,0
,35,3,3,0,0,3,3,0,0
,36,3,3,0,0,3,3,0,0
,37,3,3,0,0,3,3,0,0
,38,2,2,0,0,2,2,0,0
,39,2,2,0,0,2,2,0,0
,40,2,2,0,0,2,2,0,0
,41,2,2,0,0,2,2,0,0
,42,2,2,0,0,2,2,0,0
,43,2,2,0,0,2,2,0,0
,44,2,3,0,0,2,3,0,0
,45,2,3,0,0,2,3,0,0
,46,2,3,0,0,2,3,0,0
,47,2,2,0,0,2,2,0,0
,48,2,2,0,0,2,2,0,0
,49,1,1,0,0,1,2,0,0
,50,1,1,0,0,1,2,0,0
,51,1,2,0,0,1,3,0,0
,52,1,2,0,0,1,3,0,0
,53,1,2,0,0,1,3,0,0
,54,1,2,0,0,1,3,0,0
,55,1,2,0,0,1,3,0,0
,56,1,2,0,0,1,3,0,0
,57,2,4,0,0,2,5,0,0
,58,3,5,0,0,3,6,0,0
,59,3,6,0,0,3,6,0,0
,60,3,4,0,0,3,6,0,0
,61,3,5,0,0,3,5,0,0
,62,2,4,0,0,2,4,0,0
,63,2,4,0,0,2,4,0,0
,64,2,4,0,0,2,4,0,0
,65,3,4,0,0,3,4,0,0
,66,3,5,0,0,3,5,0,0
,67,3,5,0,0,3,5,0,0
,68,3,5,0,0,3,5,0,0
,69,3,5,0,0,3,5,0,0
,70,3,4,0,0,3,4,0,0
,71,3,4,0,0,3,4,0,0
,72,3,4,0,0,3,4,0,0
,73,3,4,0,0,3,4,0,0
,74,3,4,0,0,3,4,0,0
,75,2,3,1,0,2,3,4,0
,76,2,3,1,0,2,3,4,0
,77,2,3,1,0,2,3,4,0
,78,2,3,2,0,2,3,4,0
,79,2,2,2,0,2,2,4,0
,80,2,2,3,0,2,2,4,0
,81,3,1,3,0,3,1,4,0
,82,3,1,3,0,3,1,4,0
,83,3,1,2,0,3,1,3,0
,84,3,1,1,0,3,1,2,0
,85,3,1,1,0,3,2,2,0
,86,3,1,1,0,3,2,2,0
,87,2,2,1,0,2,2,2,0
,88,2,2,1,0,2,2,2,0
,89,2,2,2,0,3,2,2,0
,90,2,1,1,0,3,1,1,0
,91,2,1,0,0,3,1,0,0
,92,2,1,0,0,3,1,0,0
,93,2,1,0,0,3,1,0,0
,94,1,1,0,0,2,1,0,0
,95,2,1,0,0,2,1,0,0
,96,2,1,0,0,2,1,0,0
,97,2,1,0,0,2,1,0,0
,98,2,1,0,0,2,1,0,0
,99,2,1,0,0,2,1,0,0
,100,2,1,0,0,2,1,0,0
,101,2,1,0,0,2,1,0,0
,102,2,1,0,0,2,1,0,0
,103,2,1,0,0,2,1,0,0
,104,2,0,0,0,2,0,0,0
,105,2,0,0,0,3,0,0,0
,106,3,0,0,0,3,1,0,0
,107,3,0,0,0,3,1,0,0
,108,3,1,0,0,3,1,0,0
,109,2,1,0,0,2,1,0,0
,110,2,1,0,0,2,1,0,0
,111,2,1,0,0,2,1,0,0
,112,2,1,0,0,2,1,0,0
,113,2,1,0,0,2,1,0,0
,114,2,1,0,0,2,1,0,0
,115,2,1,0,0,2,1,0,0
,116,2,1,0,0,3,2,0,0
,117,3,1,0,0,3,2,0,0
,118,2,2,0,0,3,2,0,0
,119,2,1,0,0,3,1,0,0
,120,3,1,0,0,3,1,0,0
,121,3,1,0,0,3,1,0,0
,122,2,1,0,0,2,1,0,0
,123,2,1,0,0,2,1,0,0
,124,2,1,0,0,2,1,0,0
,125,2,1,0,0,2,2,0,0
,126,2,2,0,0,2,2,0,0
,127,2,2,0,0,2,2,0,0
,128,2,2,0,0,2,2,0,0
,129,2,2,0,0,2,2,0,0
,130,2,1,0,0,2,1,0,0
,131,2,1,0,0,2,1,0,0
,132,2,1,0,0,2,1,0,0
,133,3,1,0,0,3,1,0,0
,134,2,1,0,0,2,1,0,0
,135,2,1,0,0,2,1,0,0
,136,2,1,0,0,2,1,0,0
,137,2,1,0,0,2,1,0,0
,138,2,1,0,0,2,1,0,0
,139,2,1,0,0,2,2,0,0
,140,2,1,0,0,2,2,0,0
,141,2,1,0,0,2,2,0,0
,142,2,2,0,0,2,2,0,0
,143,2,2,0,0,2,2,0,0
,144,2,1,0,0,2,1,0,0
,145,2,1,0,0,2,1,0,0
,146,3,1,0,0,3,1,0,0
,147,3,1,0,0,3,1,0,0
,148,3,1,0,0,3,1,0,0
,149,2,1,0,0,2,1,0,0
,150,2,1,0,0,2,1,0,0
,151,2,1,0,0,2,1,0,0
,152,2,1,0,0,2,1,0,0
,153,2,1,0,0,2,1,0,0
,154,2,1,0,0,2,1,0,0
,155,2,1,0,0,2,1,0,0
,156,2,1,0,0,2,1,0,0
,157,2,0,0,0,2,0,0,0
,158,3,0,0,0,3,0,0,0
,159,3,0,0,0,3,1,0,0
,160,3,0,0,0,3,1,0,0
,161,3,0,0,0,3,1,0,0
,162,2,1,0,0,2,1,0,0
,163,2,1,0,0,2,1,0,0
,164,2,1,0,0,2,1,0,0
,165,2,1,0,0,2,1,0,0
,166,2,1,0,0,2,1,0,0
,167,2,1,0,0,2,2,0,0
,168,2,1,0,0,2,2,0,0
,169,2,2,0,0,2,2,0,0
,170,2,2,0,0,2,2,0,0
,171,2,2,0,0,3,2,0,0
,172,2,1,0,0,3,1,0,0
,173,2,1,0,0,3,1,0,0
,174,2,1,0,0,3,1,0,0
,175,2,1,0,0,3,1,0,0
,176,2,1,1,0,4,1,1,0
,177,2,1,1,0,4,1,1,0
,178,3,1,0,0,4,1,1,0
,179,2,1,1,0,3,1,1,0
,180,2,1,1,0,3,1,1,0
,181,2,1,1,0,3,1,1,0
,182,2,1,0,0,3,1,0,0
,183,3,1,0,0,3,2,0,0
,184,3,1,0,0,3,2,0,0
,185,3,2,0,0,3,2,0,0
,186,3,2,0,0,3,2,0,0
,187,3,2,0,0,3,2,0,0
,188,3,2,1,0,3,2,1,0
,189,4,2,1,0,4,2,1,0
,190,4,1,1,0,4,1,1,0
,191,4,1,1,0,4,1,1,0
,192,4,1,1,0,4,1,1,0
,193,4,1,1,0,4,1,1,0
,194,4,1,1,0,4,1,1,0
,195,4,1,1,0,4,1,1,0
,196,4,1,2,0,4,1,2,0
,197,3,1,2,0,3,1,2,0
,198,3,1,2,0,3,1,2,0
,199,3,1,2,0,3,1,2,0
,200,3,1,2,0,3,1,2,0
,201,3,1,3,0,3,1,3,0
,202,3,1,3,0,3,1,3,0
,203,3,1,3,0,3,1,3,0
,204,2,1,3,0,2,1,3,0
,205,2,1,3,0,2,1,3,0
,206,2,2,3,0,2,2,3,0
,207,2,1,3,0,2,2,3,0
,208,2,1,2,0,2,2,3,0
,209,5,2,2,0,5,3,2,0
,210,5,2,2,0,5,3,2,0
,211,3,3,1,0,4,3,1,0
,212,4,3,1,0,4,3,1,0
,213,4,3,1,0,4,3,1,0
,214,4,3,0,0,4,3,1,0
,215,4,3,0,0,4,3,0,0
,216,4,3,0,0,4,3,0,0
,217,3,2,0,0,3,2,0,0
,218,3,1,0,0,3,2,0,0
,219,4,0,0,0,4,0,0,0
,220,4,0,0,0,4,0,0,0
,221,4,0,0,0,4,0,0,0
,222,3,0,0,0,4,0,0,0
,223,3,0,0,0,3,0,0,0
,224,2,0,0,0,2,1,0,0
,225,2,1,0,0,2,2,0,0
,226,2,0,0,0,2,0,0,0
,227,2,0,0,0,2,0,0,0
,228,3,2,0,0,3,2,0,0
,229,3,2,0,0,3,2,0,0
,230,3,2,0,0,3,2,0,0
,231,3,1,0,0,3,1,0,0
,232,4,1,0,0,4,2,0,0
,233,3,2,0,0,3,2,0,0
,234,4,2,0,0,4,2,0,0
,235,4,2,0,0,4,2,0,0
,236,4,3,0,0,4,3,0,0
,237,4,3,0,0,4,3,0,0
,238,4,2,0,0,4,3,0,0
,239,4,3,0,0,4,3,2,0
,240,4,3,0,0,4,3,2,0
,241,4,3,0,0,4,3,2,0
,242,4,3,1,0,4,3,3,0
,243,4,3,1,0,4,3,3,0
,244,3,3,1,0,4,3,3,0
,245,3,3,1,0,3,3,3,0
,246,3,3,1,0,3,3,4,0
,247,3,3,1,0,3,3,4,0
,248,2,3,1,0,3,3,4,0
,249,2,3,2,0,2,3,4,0
,250,2,3,1,0,2,3,4,0
,251,2,3,2,0,2,3,3,0
,252,2,3,2,0,2,3,3,0
,253,2,3,1,0,2,3,2,0
,254,1,3,1,0,1,3,2,0
,255,1,3,1,0,1,3,2,0
,256,1,2,1,0,1,2,2,0
,257,1,2,1,0,1,2,2,0
,258,1,2,1,0,1,2,2,0
,259,1,2,1,0,1,2,1,0
,260,1,3,0,0,1,3,1,0
,261,1,3,0,0,1,3,0,0
,262,1,3,0,0,1,3,0,0
,263,1,2,0,0,1,2,0,0
,264,1,2,0,0,1,2,0,0
,265,1,2,0,0,1,2,0,0
